사용일자,호선명,역명,승차,하차
20221113,1호선,청량리(서울시립대입구),13304,13569
20221113,4호선,혜화,27793,29329
20221113,2호선,홍대입구,57651,58403
20221112,경부선,가산디지털단지,6727,9379
20221112,7호선,가산디지털단지,15888,13940
20221112,2호선,강남,59066,58874
20221112,7호선,강남구청,10937,12274
20221112,2호선,건대입구,34830,37829
20221112,7호선,건대입구,11746,12935
20221112,9호선,고속터미널,14781,23207
20221112,7호선,고속터미널,18533,13550
20221112,3호선,고속터미널,56868,57846
20221112,9호선,국회의사당,5793,5811
20221112,9호선,김포공항,7841,11028
20221112,5호선,김포공항,7642,7448
20221112,3호선,도곡,3733,3638
20221112,1호선,동대문,10800,10684
20221112,2호선,뚝섬,15747,15841
20221112,4호선,사당,25386,22505
20221112,2호선,사당,36721,41386
20221112,1호선,서울역,50491,49980
20221112,신림선,서울지방병무청,2115,2375
20221112,2호선,서초,12938,10898
20221112,분당선,수서,11702,12090
20221112,3호선,수서,15955,15671
20221112,1호선,시청,31007,28266
20221112,2호선,신도림,45693,46381
20221112,경부선,신도림,3252,3811
20221112,경부선,영등포,47286,48415
20221112,5호선,올림픽공원(한국체대),4815,4287
20221112,5호선,왕십리(성동구청),3808,4473
20221112,1호선,청량리(서울시립대입구),18174,19643
20221112,4호선,혜화,36369,37243
20221112,2호선,홍대입구,72976,80976
20221111,경부선,가산디지털단지,19214,22114
20221111,7호선,가산디지털단지,47382,47311
20221111,2호선,강남,88704,87536
20221111,7호선,강남구청,18562,20854
20221111,2호선,건대입구,40555,44845
20221111,7호선,건대입구,14613,15860
20221111,3호선,고속터미널,53189,55364
20221111,9호선,고속터미널,16243,22664
20221111,7호선,고속터미널,20661,16095
20221111,9호선,국회의사당,18165,18652
20221111,9호선,김포공항,8240,11823
20221111,5호선,김포공항,8128,7642
20221111,3호선,도곡,5904,5572
20221111,1호선,동대문,11996,10623
20221111,2호선,뚝섬,26029,27806
20221111,4호선,사당,31103,26834
20221111,2호선,사당,44963,50360
20221111,1호선,서울역,58928,59230
20221111,신림선,서울지방병무청,2891,3039
20221111,2호선,서초,23997,22725
20221111,3호선,수서,20591,20908
20221111,분당선,수서,16384,17487
20221111,1호선,시청,28787,29277
20221111,2호선,신도림,54017,53968
20221111,경부선,신도림,4546,4878
20221111,경부선,영등포,44981,48028
20221111,5호선,올림픽공원(한국체대),5048,4376
20221111,5호선,왕십리(성동구청),4874,5833
20221111,1호선,청량리(서울시립대입구),22134,22206
20221111,4호선,혜화,41115,40350
20221111,2호선,홍대입구,70202,80243
20221110,경부선,가산디지털단지,19921,23061
20221110,7호선,가산디지털단지,48752,49394
20221110,2호선,강남,83928,81305
20221110,7호선,강남구청,18569,20812
20221110,2호선,건대입구,36977,39592
20221110,7호선,건대입구,14103,14682
20221110,3호선,고속터미널,44057,42078
20221110,9호선,고속터미널,13820,17559
20221110,7호선,고속터미널,17504,14778
20221110,9호선,국회의사당,18132,18847
20221110,5호선,김포공항,7437,7037
20221110,9호선,김포공항,7181,11555
20221110,3호선,도곡,5708,5647
20221110,1호선,동대문,11637,10970
20221110,2호선,뚝섬,24368,26346
20221110,2호선,사당,42882,46964
20221110,4호선,사당,28889,24603
20221110,1호선,서울역,53405,51659
20221110,신림선,서울지방병무청,2767,2978
20221110,2호선,서초,23607,23209
20221110,분당선,수서,15307,15858
20221110,3호선,수서,19163,19444
20221110,1호선,시청,28353,29286
20221110,2호선,신도림,52684,51886
20221110,경부선,신도림,4669,4779
20221110,경부선,영등포,40632,42382
20221110,5호선,올림픽공원(한국체대),4784,4308
20221110,5호선,왕십리(성동구청),4685,5436
20221110,1호선,청량리(서울시립대입구),21326,21378
20221110,4호선,혜화,38232,38336
20221110,2호선,홍대입구,61666,66019
20221109,경부선,가산디지털단지,19940,22774
20221109,7호선,가산디지털단지,48801,49198
20221109,2호선,강남,82637,79904
20221109,7호선,강남구청,18589,20559
20221109,2호선,건대입구,36498,39136
20221109,7호선,건대입구,14059,14464
20221109,7호선,고속터미널,16188,14086
20221109,3호선,고속터미널,41841,40042
20221109,9호선,고속터미널,13397,16850
20221109,9호선,국회의사당,18495,19174
20221109,5호선,김포공항,7419,7156
20221109,9호선,김포공항,7030,11510
20221109,3호선,도곡,5575,5595
20221109,1호선,동대문,11360,10743
20221109,2호선,뚝섬,24343,26094
20221109,2호선,사당,42027,45763
20221109,4호선,사당,28688,24082
20221109,1호선,서울역,50576,49559
20221109,신림선,서울지방병무청,2711,2950
20221109,2호선,서초,24837,24059
20221109,분당선,수서,15144,15695
20221109,3호선,수서,19083,19249
20221109,1호선,시청,28254,28413
20221109,경부선,신도림,4610,4691
20221109,2호선,신도림,52872,52593
20221109,경부선,영등포,39820,41289
20221109,5호선,올림픽공원(한국체대),5048,4407
20221109,5호선,왕십리(성동구청),4704,5268
20221109,1호선,청량리(서울시립대입구),21173,20753
20221109,4호선,혜화,40029,39656
20221109,2호선,홍대입구,59814,63201
20221108,경부선,가산디지털단지,19688,22495
20221108,7호선,가산디지털단지,49547,50050
20221108,2호선,강남,83517,80476
20221108,7호선,강남구청,18413,20513
20221108,2호선,건대입구,35570,38129
20221108,7호선,건대입구,14090,14557
20221108,9호선,고속터미널,13120,16794
20221108,3호선,고속터미널,41926,40071
20221108,7호선,고속터미널,16594,14450
20221108,9호선,국회의사당,18384,18970
20221108,9호선,김포공항,6797,10561
20221108,5호선,김포공항,6990,6738
20221108,3호선,도곡,5694,5594
20221108,1호선,동대문,11588,10803
20221108,2호선,뚝섬,24109,25953
20221108,2호선,사당,41965,45754
20221108,4호선,사당,28549,23796
20221108,1호선,서울역,50378,48616
20221108,신림선,서울지방병무청,2716,2939
20221108,2호선,서초,24118,23306
20221108,3호선,수서,18800,19123
20221108,분당선,수서,14915,15336
20221108,1호선,시청,27417,27069
20221108,2호선,신도림,50874,49436
20221108,경부선,신도림,4461,4651
20221108,경부선,영등포,38989,40420
20221108,5호선,올림픽공원(한국체대),5252,4694
20221108,5호선,왕십리(성동구청),4669,5595
20221108,1호선,청량리(서울시립대입구),21411,21335
20221108,4호선,혜화,37601,37402
20221108,2호선,홍대입구,58230,61641
20221107,경부선,가산디지털단지,17760,21286
20221107,7호선,가산디지털단지,50769,50322
20221107,2호선,강남,80522,76888
20221107,7호선,강남구청,17694,19402
