자치구,월,유형,건수
중랑구,7,발생건수,120
성북구,7,발생건수,107
강북구,7,발생건수,83
도봉구,7,발생건수,47
노원구,7,발생건수,126
은평구,7,발생건수,76
서대문구,7,발생건수,84
마포구,7,발생건수,90
양천구,7,발생건수,111
강서구,7,발생건수,149
구로구,7,발생건수,124
금천구,7,발생건수,82
영등포구,7,발생건수,155
동작구,7,발생건수,98
관악구,7,발생건수,112
서초구,7,발생건수,190
강남구,7,발생건수,322
송파구,7,발생건수,213
강동구,7,발생건수,70
종로구,7,사망자수,0
중구,7,사망자수,0
용산구,7,사망자수,0
성동구,7,사망자수,0
광진구,7,사망자수,1
동대문구,7,사망자수,1
중랑구,7,사망자수,2
성북구,7,사망자수,2
강북구,7,사망자수,1
도봉구,7,사망자수,0
노원구,7,사망자수,0
은평구,7,사망자수,1
서대문구,7,사망자수,2
마포구,7,사망자수,2
양천구,7,사망자수,1
강서구,7,사망자수,1
구로구,7,사망자수,0
금천구,7,사망자수,2
영등포구,7,사망자수,1
동작구,7,사망자수,3
관악구,7,사망자수,0
서초구,7,사망자수,0
강남구,7,사망자수,1
송파구,7,사망자수,0
강동구,7,사망자수,0
종로구,7,부상자수,94
중구,7,부상자수,96
용산구,7,부상자수,142
성동구,7,부상자수,92
광진구,7,부상자수,110
동대문구,7,부상자수,137
중랑구,7,부상자수,155
성북구,7,부상자수,135
강북구,7,부상자수,119
도봉구,7,부상자수,61
노원구,7,부상자수,183
은평구,7,부상자수,96
서대문구,7,부상자수,103
마포구,7,부상자수,127
양천구,7,부상자수,146
강서구,7,부상자수,192
구로구,7,부상자수,166
금천구,7,부상자수,110
영등포구,7,부상자수,193
동작구,7,부상자수,120
관악구,7,부상자수,142
서초구,7,부상자수,273
강남구,7,부상자수,435
송파구,7,부상자수,269
강동구,7,부상자수,85
종로구,8,발생건수,65
중구,8,발생건수,55
용산구,8,발생건수,85
성동구,8,발생건수,97
광진구,8,발생건수,85
동대문구,8,발생건수,114
중랑구,8,발생건수,100
성북구,8,발생건수,101
강북구,8,발생건수,81
도봉구,8,발생건수,47
노원구,8,발생건수,128
은평구,8,발생건수,80
서대문구,8,발생건수,69
마포구,8,발생건수,93
양천구,8,발생건수,122
강서구,8,발생건수,117
구로구,8,발생건수,105
금천구,8,발생건수,64
영등포구,8,발생건수,191
동작구,8,발생건수,98
관악구,8,발생건수,115
